0.099206,1100,0.29418,0.32556,0.31054,0.309424015
0.099206,1150,0.2782,0.29814,0.28831,0.288379879
0.099206,1200,0.26013,0.27463,0.2674,0.262751086
0.099206,1250,0.23873,0.25148,0.24511,0.240711435
0.099206,1300,0.21769,0.22953,0.22364,0.223901325
0.099206,1350,0.19939,0.20974,0.20467,0.209372776
0.099206,1400,0.18498,0.20274,0.19457,0.190682456
0.507937,1100,0.27114,0.27857,0.27487,0.278656257
0.507937,1150,0.2601,0.2669,0.26351,0.264289003
0.507937,1200,0.24882,0.25473,0.25178,0.25135481
0.507937,1250,0.23672,0.24237,0.23954,0.240150559
0.507937,1300,0.22449,0.23021,0.22736,0.230529937
0.507937,1350,0.21262,0.21882,0.21573,0.222123219
0.507937,1400,0.20098,0.20826,0.20464,0.214474874
1.257937,1100,0.25821,0.26666,0.26243,0.26615336
1.257937,1150,0.25098,0.25883,0.25491,0.255904094
1.257937,1200,0.24345,0.2509,0.24718,0.246682906
1.257937,1250,0.23557,0.24279,0.23918,0.238456768
1.257937,1300,0.22765,0.23482,0.23124,0.231112616
1.257937,1350,0.21988,0.22717,0.22353,0.224498312
1.257937,1400,0.21215,0.21978,0.21597,0.218447999
1.753968,1100,0.25749,0.2645,0.261,0.262055924
1.753968,1150,0.25148,0.25808,0.25478,0.25290638
1.753968,1200,0.24514,0.25146,0.2483,0.244636681
1.753968,1250,0.23871,0.24484,0.24178,0.237190912
1.753968,1300,0.23208,0.23815,0.23512,0.230472152
1.753968,1350,0.22566,0.23176,0.22871,0.22436446
1.753968,1400,0.21909,0.22534,0.22222,0.218746383
