0.5,3700,0.21588,0.21887,0.21738,0.244621891285723
0.5,3800,0.20618,0.20894,0.20756,0.216748815572118
0.5,3900,0.19522,0.19769,0.19646,0.195508053978561
0.5,4000,0.18351,0.18586,0.18469,0.179850187106575
0.5,4100,0.17137,0.17348,0.17243,0.168269326428342
0.5,4200,0.15882,0.16094,0.15988,0.15931987569841
0.5,4300,0.14676,0.14803,0.14739,0.151849998698477
0.5,4400,0.13584,0.13701,0.13643,0.144993396534215
0.5,4500,0.12709,0.12835,0.12772,0.138053242363865
0.5,4600,0.12148,0.12279,0.12213,0.130330836382141
0.5,4700,0.11885,0.12046,0.11966,0.120795423717114
0.5,4800,0.11856,0.12056,0.11957,0.106754762698315
0.99603,3700,0.20743,0.2111,0.20927,0.207378452430622
0.99603,3800,0.20084,0.2043,0.20257,0.194411060161818
0.99603,3900,0.19351,0.19676,0.19514,0.184132386989043
0.99603,4000,0.18558,0.18872,0.18715,0.175933046726195
0.99603,4100,0.17725,0.1802,0.17873,0.169259729300931
0.99603,4200,0.16854,0.17159,0.17006,0.163654622938213
0.99603,4300,0.15966,0.16228,0.16097,0.158757998700632
0.99603,4400,0.15099,0.15354,0.15226,0.154292668343182
0.99603,4500,0.1431,0.14565,0.14437,0.150043248105385
0.99603,4600,0.13647,0.13925,0.13786,0.14583629269491
0.99603,4700,0.13162,0.1349,0.13327,0.141522944935472
0.99603,4800,0.12844,0.13199,0.13022,0.136963604606336
1.49206,3700,0.19698,0.20213,0.19956,0.196935817001246
1.49206,3800,0.19227,0.19722,0.19475,0.188573641232308
1.49206,3900,0.18699,0.19175,0.18938,0.181690475235412
1.49206,4000,0.18132,0.18593,0.18362,0.17595598414509
1.49206,4100,0.17585,0.17946,0.17765,0.171090196701712
1.49206,4200,0.16963,0.17306,0.17135,0.166865501415779
1.49206,4300,0.16331,0.16662,0.16497,0.163101326092252
1.49206,4400,0.15703,0.16031,0.15867,0.159656034216983
1.49206,4500,0.15111,0.15431,0.15271,0.156418674182182
1.49206,4600,0.14575,0.14899,0.14737,0.153301798909166
1.49206,4700,0.14123,0.14452,0.14288,0.150235776175519
1.49206,4800,0.13764,0.1411,0.13937,0.147164691725854
1.9881,3700,0.18145,0.20596,0.19379,0.192620287134229
1.9881,3800,0.1784,0.20163,0.19006,0.186438772786348
1.9881,3900,0.17483,0.19703,0.18596,0.181216703350859
1.9881,4000,0.17087,0.19227,0.18158,0.176750213414503
1.9881,4100,0.16657,0.18738,0.17697,0.172869753427689
1.9881,4200,0.16203,0.18245,0.17224,0.169437545283396
1.9881,4300,0.15727,0.17751,0.16739,0.166343215029938
1.9881,4400,0.15238,0.17263,0.16251,0.163499027508645
1.9881,4500,0.1475,0.16803,0.15779,0.160835484533254
1.9881,4600,0.1446,0.16251,0.15359,0.158297615149247
1.9881,4700,0.14209,0.15671,0.14945,0.15584205249936
1.9881,4800,0.13835,0.15379,0.14614,0.153434895537929
